summary,earnings_per_min,earnings_per_km,trip_distance,duration_min,total_amount
count,43710378,43710378,43710378,43710378,43710378
mean,1.509187991543439,5.739502499887947,3.0379548051498664,14.437611671229151,18.615643329763138
stddev,0.6535464711280915,2.7849893302409323,3.8969653054919102,11.523638026003448,14.087469117525703
min,0.007362658108363225,0.02092164096463996,0.1,1.0,1.0
25%,1.0924608819345663,3.7282364198988405,1.0,6.766666666666667,10.8
50%,1.346041055718475,5.1621735044753185,1.65,11.2,14.16
75%,1.7273885350318472,7.055587203249418,3.1,18.316666666666666,20.16
max,10.0,19.998996598099335,80.0,180.0,300.0
