PUBorough,PUZone,trips,p50_$per_min
Manhattan,Upper East Side South,1881081,1.41
Manhattan,Midtown Center,1792252,1.26
Manhattan,Upper East Side North,1732869,1.44
Manhattan,Midtown East,1582225,1.32
Manhattan,Penn Station/Madison Sq West,1520671,1.19
Manhattan,Times Sq/Theatre District,1485494,1.29
Manhattan,Clinton East,1390158,1.39
Manhattan,Murray Hill,1350765,1.33
Manhattan,Union Sq,1340739,1.3
Manhattan,Lincoln Square East,1323067,1.38
